generated_id,seed_no,variant_index,reference,original_expression,generated_expression,generation_type,distinct_operands_renamed
1771,76,4,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V04O01 · X076V04O01* + X076V04O01 · X076V04O01* · X076V04O02(X076V04O01*||707600403) + X076V04O01*· X076V04O02(X076V04O01 · X076V04O01*|| 707600403),operand-renamed_same-structure,3
1772,76,5,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V05O01 · X076V05O01* + X076V05O01 · X076V05O01* · X076V05O02(X076V05O01*||707600503) + X076V05O01*· X076V05O02(X076V05O01 · X076V05O01*|| 707600503),operand-renamed_same-structure,3
1773,76,6,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V06O01 · X076V06O01* + X076V06O01 · X076V06O01* · X076V06O02(X076V06O01*||707600603) + X076V06O01*· X076V06O02(X076V06O01 · X076V06O01*|| 707600603),operand-renamed_same-structure,3
1774,76,7,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V07O01 · X076V07O01* + X076V07O01 · X076V07O01* · X076V07O02(X076V07O01*||707600703) + X076V07O01*· X076V07O02(X076V07O01 · X076V07O01*|| 707600703),operand-renamed_same-structure,3
1775,76,8,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V08O01 · X076V08O01* + X076V08O01 · X076V08O01* · X076V08O02(X076V08O01*||707600803) + X076V08O01*· X076V08O02(X076V08O01 · X076V08O01*|| 707600803),operand-renamed_same-structure,3
1776,76,9,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V09O01 · X076V09O01* + X076V09O01 · X076V09O01* · X076V09O02(X076V09O01*||707600903) + X076V09O01*· X076V09O02(X076V09O01 · X076V09O01*|| 707600903),operand-renamed_same-structure,3
1777,76,10,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V10O01 · X076V10O01* + X076V10O01 · X076V10O01* · X076V10O02(X076V10O01*||707601003) + X076V10O01*· X076V10O02(X076V10O01 · X076V10O01*|| 707601003),operand-renamed_same-structure,3
1778,76,11,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V11O01 · X076V11O01* + X076V11O01 · X076V11O01* · X076V11O02(X076V11O01*||707601103) + X076V11O01*· X076V11O02(X076V11O01 · X076V11O01*|| 707601103),operand-renamed_same-structure,3
1779,76,12,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V12O01 · X076V12O01* + X076V12O01 · X076V12O01* · X076V12O02(X076V12O01*||707601203) + X076V12O01*· X076V12O02(X076V12O01 · X076V12O01*|| 707601203),operand-renamed_same-structure,3
1780,76,13,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V13O01 · X076V13O01* + X076V13O01 · X076V13O01* · X076V13O02(X076V13O01*||707601303) + X076V13O01*· X076V13O02(X076V13O01 · X076V13O01*|| 707601303),operand-renamed_same-structure,3
1781,76,14,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V14O01 · X076V14O01* + X076V14O01 · X076V14O01* · X076V14O02(X076V14O01*||707601403) + X076V14O01*· X076V14O02(X076V14O01 · X076V14O01*|| 707601403),operand-renamed_same-structure,3
1782,76,15,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V15O01 · X076V15O01* + X076V15O01 · X076V15O01* · X076V15O02(X076V15O01*||707601503) + X076V15O01*· X076V15O02(X076V15O01 · X076V15O01*|| 707601503),operand-renamed_same-structure,3
1783,76,16,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V16O01 · X076V16O01* + X076V16O01 · X076V16O01* · X076V16O02(X076V16O01*||707601603) + X076V16O01*· X076V16O02(X076V16O01 · X076V16O01*|| 707601603),operand-renamed_same-structure,3
1784,76,17,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V17O01 · X076V17O01* + X076V17O01 · X076V17O01* · X076V17O02(X076V17O01*||707601703) + X076V17O01*· X076V17O02(X076V17O01 · X076V17O01*|| 707601703),operand-renamed_same-structure,3
1785,76,18,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V18O01 · X076V18O01* + X076V18O01 · X076V18O01* · X076V18O02(X076V18O01*||707601803) + X076V18O01*· X076V18O02(X076V18O01 · X076V18O01*|| 707601803),operand-renamed_same-structure,3
1786,76,19,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V19O01 · X076V19O01* + X076V19O01 · X076V19O01* · X076V19O02(X076V19O01*||707601903) + X076V19O01*· X076V19O02(X076V19O01 · X076V19O01*|| 707601903),operand-renamed_same-structure,3
1787,76,20,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V20O01 · X076V20O01* + X076V20O01 · X076V20O01* · X076V20O02(X076V20O01*||707602003) + X076V20O01*· X076V20O02(X076V20O01 · X076V20O01*|| 707602003),operand-renamed_same-structure,3
1788,76,21,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V21O01 · X076V21O01* + X076V21O01 · X076V21O01* · X076V21O02(X076V21O01*||707602103) + X076V21O01*· X076V21O02(X076V21O01 · X076V21O01*|| 707602103),operand-renamed_same-structure,3
1789,76,22,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V22O01 · X076V22O01* + X076V22O01 · X076V22O01* · X076V22O02(X076V22O01*||707602203) + X076V22O01*· X076V22O02(X076V22O01 · X076V22O01*|| 707602203),operand-renamed_same-structure,3
1790,76,23,,a · a* + a · a* · x(a*||1) + a*· x(a · a*|| 1),X076V23O01 · X076V23O01* + X076V23O01 · X076V23O01* · X076V23O02(X076V23O01*||707602303) + X076V23O01*· X076V23O02(X076V23O01 · X076V23O01*|| 707602303),operand-renamed_same-structure,3
1791,77,1,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V01O01* + X077V01O01* · X077V01O01 · X077V01O02(X077V01O01*||707700103) + X077V01O01*· X077V01O02(X077V01O01 · X077V01O01*||707700103),operand-renamed_same-structure,3
1792,77,2,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V02O01* + X077V02O01* · X077V02O01 · X077V02O02(X077V02O01*||707700203) + X077V02O01*· X077V02O02(X077V02O01 · X077V02O01*||707700203),operand-renamed_same-structure,3
1793,77,3,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V03O01* + X077V03O01* · X077V03O01 · X077V03O02(X077V03O01*||707700303) + X077V03O01*· X077V03O02(X077V03O01 · X077V03O01*||707700303),operand-renamed_same-structure,3
1794,77,4,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V04O01* + X077V04O01* · X077V04O01 · X077V04O02(X077V04O01*||707700403) + X077V04O01*· X077V04O02(X077V04O01 · X077V04O01*||707700403),operand-renamed_same-structure,3
1795,77,5,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V05O01* + X077V05O01* · X077V05O01 · X077V05O02(X077V05O01*||707700503) + X077V05O01*· X077V05O02(X077V05O01 · X077V05O01*||707700503),operand-renamed_same-structure,3
1796,77,6,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V06O01* + X077V06O01* · X077V06O01 · X077V06O02(X077V06O01*||707700603) + X077V06O01*· X077V06O02(X077V06O01 · X077V06O01*||707700603),operand-renamed_same-structure,3
1797,77,7,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V07O01* + X077V07O01* · X077V07O01 · X077V07O02(X077V07O01*||707700703) + X077V07O01*· X077V07O02(X077V07O01 · X077V07O01*||707700703),operand-renamed_same-structure,3
1798,77,8,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V08O01* + X077V08O01* · X077V08O01 · X077V08O02(X077V08O01*||707700803) + X077V08O01*· X077V08O02(X077V08O01 · X077V08O01*||707700803),operand-renamed_same-structure,3
1799,77,9,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V09O01* + X077V09O01* · X077V09O01 · X077V09O02(X077V09O01*||707700903) + X077V09O01*· X077V09O02(X077V09O01 · X077V09O01*||707700903),operand-renamed_same-structure,3
1800,77,10,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V10O01* + X077V10O01* · X077V10O01 · X077V10O02(X077V10O01*||707701003) + X077V10O01*· X077V10O02(X077V10O01 · X077V10O01*||707701003),operand-renamed_same-structure,3
1801,77,11,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V11O01* + X077V11O01* · X077V11O01 · X077V11O02(X077V11O01*||707701103) + X077V11O01*· X077V11O02(X077V11O01 · X077V11O01*||707701103),operand-renamed_same-structure,3
1802,77,12,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V12O01* + X077V12O01* · X077V12O01 · X077V12O02(X077V12O01*||707701203) + X077V12O01*· X077V12O02(X077V12O01 · X077V12O01*||707701203),operand-renamed_same-structure,3
1803,77,13,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V13O01* + X077V13O01* · X077V13O01 · X077V13O02(X077V13O01*||707701303) + X077V13O01*· X077V13O02(X077V13O01 · X077V13O01*||707701303),operand-renamed_same-structure,3
1804,77,14,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V14O01* + X077V14O01* · X077V14O01 · X077V14O02(X077V14O01*||707701403) + X077V14O01*· X077V14O02(X077V14O01 · X077V14O01*||707701403),operand-renamed_same-structure,3
1805,77,15,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V15O01* + X077V15O01* · X077V15O01 · X077V15O02(X077V15O01*||707701503) + X077V15O01*· X077V15O02(X077V15O01 · X077V15O01*||707701503),operand-renamed_same-structure,3
1806,77,16,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V16O01* + X077V16O01* · X077V16O01 · X077V16O02(X077V16O01*||707701603) + X077V16O01*· X077V16O02(X077V16O01 · X077V16O01*||707701603),operand-renamed_same-structure,3
1807,77,17,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V17O01* + X077V17O01* · X077V17O01 · X077V17O02(X077V17O01*||707701703) + X077V17O01*· X077V17O02(X077V17O01 · X077V17O01*||707701703),operand-renamed_same-structure,3
1808,77,18,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V18O01* + X077V18O01* · X077V18O01 · X077V18O02(X077V18O01*||707701803) + X077V18O01*· X077V18O02(X077V18O01 · X077V18O01*||707701803),operand-renamed_same-structure,3
1809,77,19,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V19O01* + X077V19O01* · X077V19O01 · X077V19O02(X077V19O01*||707701903) + X077V19O01*· X077V19O02(X077V19O01 · X077V19O01*||707701903),operand-renamed_same-structure,3
1810,77,20,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V20O01* + X077V20O01* · X077V20O01 · X077V20O02(X077V20O01*||707702003) + X077V20O01*· X077V20O02(X077V20O01 · X077V20O01*||707702003),operand-renamed_same-structure,3
1811,77,21,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V21O01* + X077V21O01* · X077V21O01 · X077V21O02(X077V21O01*||707702103) + X077V21O01*· X077V21O02(X077V21O01 · X077V21O01*||707702103),operand-renamed_same-structure,3
1812,77,22,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V22O01* + X077V22O01* · X077V22O01 · X077V22O02(X077V22O01*||707702203) + X077V22O01*· X077V22O02(X077V22O01 · X077V22O01*||707702203),operand-renamed_same-structure,3
1813,77,23,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V23O01* + X077V23O01* · X077V23O01 · X077V23O02(X077V23O01*||707702303) + X077V23O01*· X077V23O02(X077V23O01 · X077V23O01*||707702303),operand-renamed_same-structure,3
1814,77,24,,a* + a* · a · x(a*||1) + a*· x(a · a*||1),X077V24O01* + X077V24O01* · X077V24O01 · X077V24O02(X077V24O01*||707702403) + X077V24O01*· X077V24O02(X077V24O01 · X077V24O01*||707702403),operand-renamed_same-structure,3
1815,78,1,,(a*||b) · a* + a · a* · x(a*||b),(X078V01O01*||X078V01O02) · X078V01O01* + X078V01O01 · X078V01O01* · X078V01O03(X078V01O01*||X078V01O02),operand-renamed_same-structure,3
1816,78,2,,(a*||b) · a* + a · a* · x(a*||b),(X078V02O01*||X078V02O02) · X078V02O01* + X078V02O01 · X078V02O01* · X078V02O03(X078V02O01*||X078V02O02),operand-renamed_same-structure,3
1817,78,3,,(a*||b) · a* + a · a* · x(a*||b),(X078V03O01*||X078V03O02) · X078V03O01* + X078V03O01 · X078V03O01* · X078V03O03(X078V03O01*||X078V03O02),operand-renamed_same-structure,3
1818,78,4,,(a*||b) · a* + a · a* · x(a*||b),(X078V04O01*||X078V04O02) · X078V04O01* + X078V04O01 · X078V04O01* · X078V04O03(X078V04O01*||X078V04O02),operand-renamed_same-structure,3
1819,78,5,,(a*||b) · a* + a · a* · x(a*||b),(X078V05O01*||X078V05O02) · X078V05O01* + X078V05O01 · X078V05O01* · X078V05O03(X078V05O01*||X078V05O02),operand-renamed_same-structure,3
1820,78,6,,(a*||b) · a* + a · a* · x(a*||b),(X078V06O01*||X078V06O02) · X078V06O01* + X078V06O01 · X078V06O01* · X078V06O03(X078V06O01*||X078V06O02),operand-renamed_same-structure,3
1821,78,7,,(a*||b) · a* + a · a* · x(a*||b),(X078V07O01*||X078V07O02) · X078V07O01* + X078V07O01 · X078V07O01* · X078V07O03(X078V07O01*||X078V07O02),operand-renamed_same-structure,3
1822,78,8,,(a*||b) · a* + a · a* · x(a*||b),(X078V08O01*||X078V08O02) · X078V08O01* + X078V08O01 · X078V08O01* · X078V08O03(X078V08O01*||X078V08O02),operand-renamed_same-structure,3
1823,78,9,,(a*||b) · a* + a · a* · x(a*||b),(X078V09O01*||X078V09O02) · X078V09O01* + X078V09O01 · X078V09O01* · X078V09O03(X078V09O01*||X078V09O02),operand-renamed_same-structure,3
1824,78,10,,(a*||b) · a* + a · a* · x(a*||b),(X078V10O01*||X078V10O02) · X078V10O01* + X078V10O01 · X078V10O01* · X078V10O03(X078V10O01*||X078V10O02),operand-renamed_same-structure,3
1825,78,11,,(a*||b) · a* + a · a* · x(a*||b),(X078V11O01*||X078V11O02) · X078V11O01* + X078V11O01 · X078V11O01* · X078V11O03(X078V11O01*||X078V11O02),operand-renamed_same-structure,3
1826,78,12,,(a*||b) · a* + a · a* · x(a*||b),(X078V12O01*||X078V12O02) · X078V12O01* + X078V12O01 · X078V12O01* · X078V12O03(X078V12O01*||X078V12O02),operand-renamed_same-structure,3
1827,78,13,,(a*||b) · a* + a · a* · x(a*||b),(X078V13O01*||X078V13O02) · X078V13O01* + X078V13O01 · X078V13O01* · X078V13O03(X078V13O01*||X078V13O02),operand-renamed_same-structure,3
1828,78,14,,(a*||b) · a* + a · a* · x(a*||b),(X078V14O01*||X078V14O02) · X078V14O01* + X078V14O01 · X078V14O01* · X078V14O03(X078V14O01*||X078V14O02),operand-renamed_same-structure,3
1829,78,15,,(a*||b) · a* + a · a* · x(a*||b),(X078V15O01*||X078V15O02) · X078V15O01* + X078V15O01 · X078V15O01* · X078V15O03(X078V15O01*||X078V15O02),operand-renamed_same-structure,3
1830,78,16,,(a*||b) · a* + a · a* · x(a*||b),(X078V16O01*||X078V16O02) · X078V16O01* + X078V16O01 · X078V16O01* · X078V16O03(X078V16O01*||X078V16O02),operand-renamed_same-structure,3
1831,78,17,,(a*||b) · a* + a · a* · x(a*||b),(X078V17O01*||X078V17O02) · X078V17O01* + X078V17O01 · X078V17O01* · X078V17O03(X078V17O01*||X078V17O02),operand-renamed_same-structure,3
1832,78,18,,(a*||b) · a* + a · a* · x(a*||b),(X078V18O01*||X078V18O02) · X078V18O01* + X078V18O01 · X078V18O01* · X078V18O03(X078V18O01*||X078V18O02),operand-renamed_same-structure,3
1833,78,19,,(a*||b) · a* + a · a* · x(a*||b),(X078V19O01*||X078V19O02) · X078V19O01* + X078V19O01 · X078V19O01* · X078V19O03(X078V19O01*||X078V19O02),operand-renamed_same-structure,3
1834,78,20,,(a*||b) · a* + a · a* · x(a*||b),(X078V20O01*||X078V20O02) · X078V20O01* + X078V20O01 · X078V20O01* · X078V20O03(X078V20O01*||X078V20O02),operand-renamed_same-structure,3
1835,78,21,,(a*||b) · a* + a · a* · x(a*||b),(X078V21O01*||X078V21O02) · X078V21O01* + X078V21O01 · X078V21O01* · X078V21O03(X078V21O01*||X078V21O02),operand-renamed_same-structure,3
1836,78,22,,(a*||b) · a* + a · a* · x(a*||b),(X078V22O01*||X078V22O02) · X078V22O01* + X078V22O01 · X078V22O01* · X078V22O03(X078V22O01*||X078V22O02),operand-renamed_same-structure,3
1837,78,23,,(a*||b) · a* + a · a* · x(a*||b),(X078V23O01*||X078V23O02) · X078V23O01* + X078V23O01 · X078V23O01* · X078V23O03(X078V23O01*||X078V23O02),operand-renamed_same-structure,3
1838,78,24,,(a*||b) · a* + a · a* · x(a*||b),(X078V24O01*||X078V24O02) · X078V24O01* + X078V24O01 · X078V24O01* · X078V24O03(X078V24O01*||X078V24O02),operand-renamed_same-structure,3
1839,79,1,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V01O01 || 707900102) · (707900102 || X079V01O03) · (X079V01O04 || 707900102),operand-renamed_same-structure,4
1840,79,2,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V02O01 || 707900202) · (707900202 || X079V02O03) · (X079V02O04 || 707900202),operand-renamed_same-structure,4
1841,79,3,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V03O01 || 707900302) · (707900302 || X079V03O03) · (X079V03O04 || 707900302),operand-renamed_same-structure,4
1842,79,4,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V04O01 || 707900402) · (707900402 || X079V04O03) · (X079V04O04 || 707900402),operand-renamed_same-structure,4
1843,79,5,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V05O01 || 707900502) · (707900502 || X079V05O03) · (X079V05O04 || 707900502),operand-renamed_same-structure,4
1844,79,6,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V06O01 || 707900602) · (707900602 || X079V06O03) · (X079V06O04 || 707900602),operand-renamed_same-structure,4
1845,79,7,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V07O01 || 707900702) · (707900702 || X079V07O03) · (X079V07O04 || 707900702),operand-renamed_same-structure,4
1846,79,8,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V08O01 || 707900802) · (707900802 || X079V08O03) · (X079V08O04 || 707900802),operand-renamed_same-structure,4
1847,79,9,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V09O01 || 707900902) · (707900902 || X079V09O03) · (X079V09O04 || 707900902),operand-renamed_same-structure,4
1848,79,10,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V10O01 || 707901002) · (707901002 || X079V10O03) · (X079V10O04 || 707901002),operand-renamed_same-structure,4
1849,79,11,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V11O01 || 707901102) · (707901102 || X079V11O03) · (X079V11O04 || 707901102),operand-renamed_same-structure,4
1850,79,12,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V12O01 || 707901202) · (707901202 || X079V12O03) · (X079V12O04 || 707901202),operand-renamed_same-structure,4
1851,79,13,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V13O01 || 707901302) · (707901302 || X079V13O03) · (X079V13O04 || 707901302),operand-renamed_same-structure,4
1852,79,14,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V14O01 || 707901402) · (707901402 || X079V14O03) · (X079V14O04 || 707901402),operand-renamed_same-structure,4
1853,79,15,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V15O01 || 707901502) · (707901502 || X079V15O03) · (X079V15O04 || 707901502),operand-renamed_same-structure,4
1854,79,16,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V16O01 || 707901602) · (707901602 || X079V16O03) · (X079V16O04 || 707901602),operand-renamed_same-structure,4
1855,79,17,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V17O01 || 707901702) · (707901702 || X079V17O03) · (X079V17O04 || 707901702),operand-renamed_same-structure,4
1856,79,18,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V18O01 || 707901802) · (707901802 || X079V18O03) · (X079V18O04 || 707901802),operand-renamed_same-structure,4
1857,79,19,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V19O01 || 707901902) · (707901902 || X079V19O03) · (X079V19O04 || 707901902),operand-renamed_same-structure,4
1858,79,20,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V20O01 || 707902002) · (707902002 || X079V20O03) · (X079V20O04 || 707902002),operand-renamed_same-structure,4
1859,79,21,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V21O01 || 707902102) · (707902102 || X079V21O03) · (X079V21O04 || 707902102),operand-renamed_same-structure,4
1860,79,22,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V22O01 || 707902202) · (707902202 || X079V22O03) · (X079V22O04 || 707902202),operand-renamed_same-structure,4
1861,79,23,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V23O01 || 707902302) · (707902302 || X079V23O03) · (X079V23O04 || 707902302),operand-renamed_same-structure,4
1862,79,24,2020-Partially Observable Concurrent Kleene Algebra,(α || 1) · (1 || a) · (β || 1),(X079V24O01 || 707902402) · (707902402 || X079V24O03) · (X079V24O04 || 707902402),operand-renamed_same-structure,4
1863,80,1,,(α || 1) · ((1 · β) || (α · 1)),(X080V01O01 || 708000102) · ((708000102 · X080V01O03) || (X080V01O01 · 708000102)),operand-renamed_same-structure,3
1864,80,2,,(α || 1) · ((1 · β) || (α · 1)),(X080V02O01 || 708000202) · ((708000202 · X080V02O03) || (X080V02O01 · 708000202)),operand-renamed_same-structure,3
1865,80,3,,(α || 1) · ((1 · β) || (α · 1)),(X080V03O01 || 708000302) · ((708000302 · X080V03O03) || (X080V03O01 · 708000302)),operand-renamed_same-structure,3
1866,80,4,,(α || 1) · ((1 · β) || (α · 1)),(X080V04O01 || 708000402) · ((708000402 · X080V04O03) || (X080V04O01 · 708000402)),operand-renamed_same-structure,3
1867,80,5,,(α || 1) · ((1 · β) || (α · 1)),(X080V05O01 || 708000502) · ((708000502 · X080V05O03) || (X080V05O01 · 708000502)),operand-renamed_same-structure,3
1868,80,6,,(α || 1) · ((1 · β) || (α · 1)),(X080V06O01 || 708000602) · ((708000602 · X080V06O03) || (X080V06O01 · 708000602)),operand-renamed_same-structure,3
1869,80,7,,(α || 1) · ((1 · β) || (α · 1)),(X080V07O01 || 708000702) · ((708000702 · X080V07O03) || (X080V07O01 · 708000702)),operand-renamed_same-structure,3
1870,80,8,,(α || 1) · ((1 · β) || (α · 1)),(X080V08O01 || 708000802) · ((708000802 · X080V08O03) || (X080V08O01 · 708000802)),operand-renamed_same-structure,3
1871,80,9,,(α || 1) · ((1 · β) || (α · 1)),(X080V09O01 || 708000902) · ((708000902 · X080V09O03) || (X080V09O01 · 708000902)),operand-renamed_same-structure,3
1872,80,10,,(α || 1) · ((1 · β) || (α · 1)),(X080V10O01 || 708001002) · ((708001002 · X080V10O03) || (X080V10O01 · 708001002)),operand-renamed_same-structure,3
1873,80,11,,(α || 1) · ((1 · β) || (α · 1)),(X080V11O01 || 708001102) · ((708001102 · X080V11O03) || (X080V11O01 · 708001102)),operand-renamed_same-structure,3
1874,80,12,,(α || 1) · ((1 · β) || (α · 1)),(X080V12O01 || 708001202) · ((708001202 · X080V12O03) || (X080V12O01 · 708001202)),operand-renamed_same-structure,3
1875,80,13,,(α || 1) · ((1 · β) || (α · 1)),(X080V13O01 || 708001302) · ((708001302 · X080V13O03) || (X080V13O01 · 708001302)),operand-renamed_same-structure,3
1876,80,14,,(α || 1) · ((1 · β) || (α · 1)),(X080V14O01 || 708001402) · ((708001402 · X080V14O03) || (X080V14O01 · 708001402)),operand-renamed_same-structure,3
1877,80,15,,(α || 1) · ((1 · β) || (α · 1)),(X080V15O01 || 708001502) · ((708001502 · X080V15O03) || (X080V15O01 · 708001502)),operand-renamed_same-structure,3
1878,80,16,,(α || 1) · ((1 · β) || (α · 1)),(X080V16O01 || 708001602) · ((708001602 · X080V16O03) || (X080V16O01 · 708001602)),operand-renamed_same-structure,3
1879,80,17,,(α || 1) · ((1 · β) || (α · 1)),(X080V17O01 || 708001702) · ((708001702 · X080V17O03) || (X080V17O01 · 708001702)),operand-renamed_same-structure,3
1880,80,18,,(α || 1) · ((1 · β) || (α · 1)),(X080V18O01 || 708001802) · ((708001802 · X080V18O03) || (X080V18O01 · 708001802)),operand-renamed_same-structure,3
1881,80,19,,(α || 1) · ((1 · β) || (α · 1)),(X080V19O01 || 708001902) · ((708001902 · X080V19O03) || (X080V19O01 · 708001902)),operand-renamed_same-structure,3
1882,80,20,,(α || 1) · ((1 · β) || (α · 1)),(X080V20O01 || 708002002) · ((708002002 · X080V20O03) || (X080V20O01 · 708002002)),operand-renamed_same-structure,3
1883,80,21,,(α || 1) · ((1 · β) || (α · 1)),(X080V21O01 || 708002102) · ((708002102 · X080V21O03) || (X080V21O01 · 708002102)),operand-renamed_same-structure,3
1884,80,22,,(α || 1) · ((1 · β) || (α · 1)),(X080V22O01 || 708002202) · ((708002202 · X080V22O03) || (X080V22O01 · 708002202)),operand-renamed_same-structure,3
1885,80,23,,(α || 1) · ((1 · β) || (α · 1)),(X080V23O01 || 708002302) · ((708002302 · X080V23O03) || (X080V23O01 · 708002302)),operand-renamed_same-structure,3
1886,80,24,,(α || 1) · ((1 · β) || (α · 1)),(X080V24O01 || 708002402) · ((708002402 · X080V24O03) || (X080V24O01 · 708002402)),operand-renamed_same-structure,3
1887,81,1,,(α · β) || (1 · α),(X081V01O01 · X081V01O02) || (708100103 · X081V01O01),operand-renamed_same-structure,3
1888,81,2,,(α · β) || (1 · α),(X081V02O01 · X081V02O02) || (708100203 · X081V02O01),operand-renamed_same-structure,3
1889,81,3,,(α · β) || (1 · α),(X081V03O01 · X081V03O02) || (708100303 · X081V03O01),operand-renamed_same-structure,3
1890,81,4,,(α · β) || (1 · α),(X081V04O01 · X081V04O02) || (708100403 · X081V04O01),operand-renamed_same-structure,3
1891,81,5,,(α · β) || (1 · α),(X081V05O01 · X081V05O02) || (708100503 · X081V05O01),operand-renamed_same-structure,3
1892,81,6,,(α · β) || (1 · α),(X081V06O01 · X081V06O02) || (708100603 · X081V06O01),operand-renamed_same-structure,3
1893,81,7,,(α · β) || (1 · α),(X081V07O01 · X081V07O02) || (708100703 · X081V07O01),operand-renamed_same-structure,3
1894,81,8,,(α · β) || (1 · α),(X081V08O01 · X081V08O02) || (708100803 · X081V08O01),operand-renamed_same-structure,3
1895,81,9,,(α · β) || (1 · α),(X081V09O01 · X081V09O02) || (708100903 · X081V09O01),operand-renamed_same-structure,3
1896,81,10,,(α · β) || (1 · α),(X081V10O01 · X081V10O02) || (708101003 · X081V10O01),operand-renamed_same-structure,3
1897,81,11,,(α · β) || (1 · α),(X081V11O01 · X081V11O02) || (708101103 · X081V11O01),operand-renamed_same-structure,3
